City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Broken Hill,AU,-31.95,141.4333,53.31,30,0,8.05,clear sky
286,Yumen,CN,40.2833,97.2,41.99,41,88,3.87,overcast clouds
287,Salamanca,ES,40.8333,-6.0,64.18,51,32,6.38,scattered clouds
288,Ahipara,NZ,-35.1667,173.1667,56.01,91,1,1.74,clear sky
289,Pisco,PE,-13.7,-76.2167,66.02,77,15,11.5,haze
290,Poum,NC,-20.2333,164.0167,74.07,73,10,16.04,clear sky
291,Saint-Pierre,RE,-21.3393,55.4781,75.29,74,75,10.36,broken clouds
292,Tateyama,JP,34.9833,139.8667,58.93,88,75,17.27,shower rain
293,Hauterive,FR,46.0901,3.4459,61.56,79,82,2.51,broken clouds
294,Tarakan,ID,3.3,117.6333,80.1,94,75,2.3,broken clouds
295,Viedma,AR,-40.8135,-62.9967,71.62,21,5,21.3,clear sky
296,Laguna,US,38.421,-121.4238,58.21,95,90,4.0,overcast clouds
297,Kalga,RU,50.9251,118.898,32.0,85,86,4.27,overcast clouds
298,Port Hawkesbury,CA,45.6169,-61.3485,53.19,83,75,7.0,broken clouds
299,Lusambo,CD,-4.9667,23.45,71.83,96,99,2.44,moderate rain
300,Chinsali,ZM,-10.5414,32.0816,79.86,21,80,6.93,broken clouds
301,Alanya,TR,36.5438,31.9998,71.73,48,39,9.13,scattered clouds
302,Kununurra,AU,-15.7667,128.7333,80.58,74,75,2.3,broken clouds
303,Sovetskaya Gavan,RU,48.9723,140.2878,38.17,74,2,5.66,clear sky
304,Svetlyy,RU,54.675,20.1347,48.25,61,75,13.87,broken clouds
305,Liancheng,CN,24.0519,105.075,54.95,97,61,2.82,broken clouds
306,Thompson,CA,55.7435,-97.8558,32.16,93,75,3.44,broken clouds
307,Usinsk,RU,65.9939,57.5281,10.89,97,87,8.48,overcast clouds
308,Biggar,GB,55.6167,-3.5167,49.91,86,21,10.22,light rain
309,Redlands,US,34.0556,-117.1825,66.94,81,90,0.0,haze
310,Carutapera,BR,-1.195,-46.02,87.08,62,68,11.68,broken clouds
311,Qiongshan,CN,20.0058,110.3542,71.58,83,20,2.24,light rain
312,Gold Coast,AU,-28.0,153.4333,71.04,79,90,6.91,overcast clouds
313,Richards Bay,ZA,-28.783,32.0377,63.86,89,100,9.37,light rain
314,Santa Marta,CO,11.2408,-74.199,89.35,74,20,5.75,few clouds
315,Lompoc,US,34.6391,-120.4579,61.12,89,90,8.05,moderate rain
316,Bulgan,MN,48.8125,103.5347,33.53,59,9,3.74,clear sky
317,Maceio,BR,-9.6658,-35.7353,90.84,51,20,9.22,few clouds
318,Port Blair,IN,11.6667,92.75,80.15,83,25,6.24,scattered clouds
319,Debno,PL,52.739,14.698,48.52,67,100,6.31,overcast clouds
320,Luderitz,NA,-26.6481,15.1594,62.01,73,10,6.08,clear sky
321,San Andres,CO,12.5847,-81.7006,87.82,74,20,9.22,few clouds
322,Lincoln,US,40.8,-96.667,50.54,86,90,3.0,overcast clouds
323,Noshiro,JP,40.2039,140.0242,54.03,70,100,5.59,light rain
324,Miyako,JP,39.6367,141.9525,56.28,80,100,6.49,light rain
325,Bubaque,GW,11.2833,-15.8333,83.28,72,100,6.53,overcast clouds
326,Dalnegorsk,RU,44.5604,135.5701,40.33,66,1,3.98,clear sky
327,Tual,ID,-5.6667,132.75,82.96,72,78,2.62,broken clouds
328,Sars,RU,56.5502,57.1366,29.66,86,100,12.19,light snow
329,Manggar,ID,-2.8833,108.2667,80.55,77,32,2.24,scattered clouds
330,Balkanabat,TM,39.5108,54.3671,61.0,68,42,11.23,scattered clouds
331,Aketi,CD,2.7388,23.7833,76.08,76,19,2.89,few clouds
332,Ewa Beach,US,21.3156,-158.0072,76.95,75,40,3.44,scattered clouds
333,Skorodnoye,RU,51.071,37.2276,37.29,61,45,3.36,scattered clouds
334,Yuzhnouralsk,RU,54.4418,61.2536,38.88,87,100,7.49,overcast clouds
335,Rawson,AR,-43.3002,-65.1023,66.11,24,25,18.28,scattered clouds
336,Zaplavnoye,RU,48.7048,45.0229,37.26,52,11,10.45,few clouds
337,Kulhudhuffushi,MV,6.6221,73.07,82.06,77,95,9.06,overcast clouds
338,Bilma,NE,18.6853,12.9164,89.51,13,3,6.38,clear sky
339,Wakkanai,JP,45.4094,141.6739,55.44,77,0,15.82,clear sky
340,Port Lincoln,AU,-34.7333,135.8667,57.87,78,8,14.14,clear sky
341,Half Moon Bay,US,37.4636,-122.4286,59.11,89,1,4.0,mist
342,Xai-Xai,MZ,-25.0519,33.6442,70.03,94,100,7.87,light rain
343,Sobolevo,RU,54.4299,31.8996,34.7,80,11,10.11,few clouds
